Graph Type,Size,Prim Time (s),Prim Memory (KB),Kruskal Time (s),Kruskal Memory (KB)
Dense,30,0.0023961699989740737,54.0234375,0.002049332000751747,44.58984375
Grid,30,0.00033600599999772385,19.578125,0.0004902330001641531,18.0390625
Star,30,0.0003642329993454041,22.59375,0.0005074900000181515,21.1484375
Scale-Free,30,0.00042557900087558664,22.3046875,0.0006745320006302791,20.6015625
Small-World,30,0.00043321200064383447,22.1015625,0.0010780759985209443,20.40625
Dense,50,0.0025295389987149974,74.26171875,0.0030036480002308963,65.6328125
Grid,50,0.0006428839988075197,33.1171875,0.0009999949998018565,33.6171875
Star,50,0.0006146439991425723,34.96875,0.0007865719999244902,35.7890625
Scale-Free,50,0.0007799169998179423,34.359375,0.0013068509997538058,35.2890625
Small-World,50,0.0006272819991863798,33.484375,0.0009109689999604598,34.171875
Dense,80,0.006682856999759679,176.1796875,0.00620869600061269,132.21875
Grid,80,0.0008504140005243244,40.1875,0.0011975300003541633,40.703125
Star,80,0.0010089390016219113,61.7890625,0.0012088200001016958,49.8125
Scale-Free,80,0.0019897660004062345,70.2890625,0.002551552001023083,51.9375
Small-World,80,0.0009557510002196068,60.515625,0.0018845470003725495,48.4296875
Dense,120,0.014476279000518844,341.33984375,0.013875515000108862,274.6328125
Grid,120,0.0011980040017078863,73.703125,0.0017938119999598712,67.25
Star,120,0.00140113400084374,86.796875,0.0017832860012276797,80.3515625
Scale-Free,120,0.004333676000896958,114.98828125,0.005050240999480593,86.1953125
Small-World,120,0.0014791599987802329,83.3828125,0.002130378999936511,76.9140625
Dense,150,0.023531949998869095,533.38671875,0.01937183200061554,454.203125
Grid,150,0.0017034250013239216,94.3984375,0.002522128001146484,88.1484375
Star,150,0.001726215999951819,100.5703125,0.0022210819988686126,94.375
Scale-Free,150,0.006666953000603826,151.4140625,0.007806003999576205,107.9375
Small-World,150,0.0019774800002778647,96.80859375,0.0027720229991246015,91.1640625
